Freq.	V(vout)/V(n001)
1.00000000000000e+002	(-2.34227312271757e-002dB,-4.20585249476093e+000°)
1.02329299228075e+002	(-2.45242784300528e-002dB,-4.30352378535847e+000°)
1.04712854805090e+002	(-2.56775157341070e-002dB,-4.40344907734555e+000°)
1.07151930523761e+002	(-2.68848577014168e-002dB,-4.50567937772702e+000°)
1.09647819614318e+002	(-2.81488306298348e-002dB,-4.61026677592470e+000°)
1.12201845430196e+002	(-2.94720776227904e-002dB,-4.71726446158413e+000°)
1.14815362149688e+002	(-3.08573638794285e-002dB,-4.82672674228472e+000°)
1.17489755493953e+002	(-3.23075822137938e-002dB,-4.93870906111671e+000°)
1.20226443461741e+002	(-3.38257588119196e-002dB,-5.05326801408548e+000°)
1.23026877081238e+002	(-3.54150592359689e-002dB,-5.17046136729998e+000°)
1.25892541179417e+002	(-3.70787946848345e-002dB,-5.29034807389924e+000°)
1.28824955169313e+002	(-3.88204285207871e-002dB,-5.41298829066660e+000°)
1.31825673855641e+002	(-4.06435830719977e-002dB,-5.53844339427804e+000°)
1.34896288259165e+002	(-4.25520467210976e-002dB,-5.66677599712623e+000°)
1.38038426460288e+002	(-4.45497812899091e-002dB,-5.79804996265802e+000°)
1.41253754462275e+002	(-4.66409297309494e-002dB,-5.93233042015821e+000°)
1.44543977074593e+002	(-4.88298241362608e-002dB,-6.06968377890742e+000°)
1.47910838816821e+002	(-5.11209940744163e-002dB,-6.21017774163704e+000°)
1.51356124843621e+002	(-5.35191752666698e-002dB,-6.35388131719820e+000°)
1.54881661891248e+002	(-5.60293186132564e-002dB,-6.50086483235645e+000°)
1.58489319246111e+002	(-5.86565995810526e-002dB,-6.65119994261735e+000°)
1.62181009735893e+002	(-6.14064279637149e-002dB,-6.80495964198181e+000°)
1.65958690743756e+002	(-6.42844580256293e-002dB,-6.96221827152341e+000°)
1.69824365246174e+002	(-6.72965990407428e-002dB,-7.12305152667253e+000°)
1.73780082874937e+002	(-7.04490262374348e-002dB,-7.28753646308498e+000°)
1.77827941003892e+002	(-7.37481921604948e-002dB,-7.45575150096477e+000°)
1.81970085860998e+002	(-7.72008384608751e-002dB,-7.62777642770270e+000°)
1.86208713666287e+002	(-8.08140081238854e-002dB,-7.80369239868364e+000°)
1.90546071796324e+002	(-8.45950581460667e-002dB,-7.98358193610703e+000°)
1.94984459975804e+002	(-8.85516726704991e-002dB,-8.16752892565532e+000°)
1.99526231496888e+002	(-9.26918765900451e-002dB,-8.35561861083597e+000°)
2.04173794466953e+002	(-9.70240496271959e-002dB,-8.54793758481255e+000°)
2.08929613085404e+002	(-1.01556940898652e-001dB,-8.74457377953040e+000°)
2.13796208950223e+002	(-1.06299683972040e-001dB,-8.94561645193165e+000°)
2.18776162394955e+002	(-1.11261812420981e-001dB,-9.15115616704391e+000°)
2.23872113856834e+002	(-1.16453275884030e-001dB,-9.36128477771574e+000°)
2.29086765276777e+002	(-1.21884456631548e-001dB,-9.57609540076094e+000°)
2.34422881531992e+002	(-1.27566186643301e-001dB,-9.79568238926230e+000°)
2.39883291901949e+002	(-1.33509765198141e-001dB,-1.00201413007741e+001°)
2.45470891568503e+002	(-1.39726976975319e-001dB,-1.02495688611513e+001°)
2.51188643150958e+002	(-1.46230110665197e-001dB,-1.04840629237209e+001°)
2.57039578276886e+002	(-1.53031978084923e-001dB,-1.07237224235025e+001°)
2.63026799189538e+002	(-1.60145933792535e-001dB,-1.09686473261691e+001°)
2.69153480392691e+002	(-1.67585895190195e-001dB,-1.12189385714345e+001°)
2.75422870333816e+002	(-1.75366363104719e-001dB,-1.14746980105374e+001°)
2.81838293126445e+002	(-1.83502442830349e-001dB,-1.17360283374875e+001°)
2.88403150312660e+002	(-1.92009865615676e-001dB,-1.20030330137269e+001°)
2.95120922666638e+002	(-2.00905010572865e-001dB,-1.22758161858521e+001°)
3.01995172040201e+002	(-2.10204926983609e-001dB,-1.25544825960383e+001°)
3.09029543251358e+002	(-2.19927356972185e-001dB,-1.28391374847969e+001°)
3.16227766016837e+002	(-2.30090758511543e-001dB,-1.31298864856975e+001°)
3.23593656929628e+002	(-2.40714328723517e-001dB,-1.34268355116810e+001°)
3.31131121482590e+002	(-2.51818027429601e-001dB,-1.37300906325916e+001°)
3.38844156139202e+002	(-2.63422600903154e-001dB,-1.40397579435558e+001°)
3.46736850452531e+002	(-2.75549605768391e-001dB,-1.43559434238439e+001°)
3.54813389233575e+002	(-2.88221432985850e-001dB,-1.46787527858551e+001°)
3.63078054770101e+002	(-3.01461331857743e-001dB,-1.50082913138803e+001°)
3.71535229097172e+002	(-3.15293433980262e-001dB,-1.53446636923104e+001°)
3.80189396320560e+002	(-3.29742777063620e-001dB,-1.56879738229780e+001°)
3.89045144994280e+002	(-3.44835328533559e-001dB,-1.60383246313434e+001°)
3.98107170553496e+002	(-3.60598008821411e-001dB,-1.63958178612659e+001°)
4.07380277804112e+002	(-3.77058714242946e-001dB,-1.67605538581330e+001°)
4.16869383470335e+002	(-3.94246339359063e-001dB,-1.71326313401634e+001°)
4.26579518801592e+002	(-4.12190798704775e-001dB,-1.75121471577429e+001°)
4.36515832240165e+002	(-4.30923047766006e-001dB,-1.78991960407078e+001°)
4.46683592150962e+002	(-4.50475103077372e-001dB,-1.82938703335479e+001°)
4.57088189614874e+002	(-4.70880061307827e-001dB,-1.86962597185716e+001°)
4.67735141287197e+002	(-4.92172117195532e-001dB,-1.91064509271494e+001°)
4.78630092322637e+002	(-5.14386580188107e-001dB,-1.95245274392350e+001°)
4.89778819368445e+002	(-5.37559889640095e-001dB,-1.99505691714571e+001°)
5.01187233627271e+002	(-5.61729628416268e-001dB,-2.03846521541746e+001°)
5.12861383991364e+002	(-5.86934534746731e-001dB,-2.08268481979964e+001°)
5.24807460249771e+002	(-6.13214512179180e-001dB,-2.12772245503852e+001°)
5.37031796370251e+002	(-6.40610637473798e-001dB,-2.17358435430916e+001°)
5.49540873857623e+002	(-6.69165166288654e-001dB,-2.22027622312983e+001°)
5.62341325190348e+002	(-6.98921536507524e-001dB,-2.26780320254959e+001°)
5.75439937337155e+002	(-7.29924369068348e-001dB,-2.31616983172621e+001°)
5.88843655355587e+002	(-7.62219466159241e-001dB,-2.36538001002705e+001°)
6.02559586074356e+002	(-7.95853806660371e-001dB,-2.41543695880162e+001°)
6.16595001861481e+002	(-8.30875538724147e-001dB,-2.46634318299098e+001°)
6.30957344480192e+002	(-8.67333969403754e-001dB,-2.51810043275596e+001°)
6.45654229034654e+002	(-9.05279551260657e-001dB,-2.57070966532280e+001°)
6.60693448007594e+002	(-9.44763865906043e-001dB,-2.62417100726167e+001°)
6.76082975391980e+002	(-9.85839604459352e-001dB,-2.67848371742982e+001°)
6.91830970918935e+002	(-1.02856054493910e+000dB,-2.73364615082680e+001°)
7.07945784384136e+002	(-1.07298152663702e+000dB,-2.78965572362427e+001°)
7.24435960074988e+002	(-1.11915842156735e+000dB,-2.84650887964669e+001°)
7.41310241300916e+002	(-1.16714810312692e+000dB,-2.90420105859126e+001°)
7.58577575029182e+002	(-1.21700841215112e+000dB,-2.96272666628659e+001°)
7.76247116628690e+002	(-1.26879812060298e+000dB,-3.02207904729762e+001°)
7.94328234724279e+002	(-1.32257689319033e+000dB,-3.08225046019050e+001°)
8.12830516164097e+002	(-1.37840524726594e+000dB,-3.14323205577482e+001°)
8.31763771102669e+002	(-1.43634451143095e+000dB,-3.20501385864018e+001°)
8.51138038202374e+002	(-1.49645678332888e+000dB,-3.26758475230166e+001°)
8.70963589956078e+002	(-1.55880488718887e+000dB,-3.33093246826149e+001°)
8.91250938133743e+002	(-1.62345233174991e+000dB,-3.39504357928368e+001°)
9.12010839355907e+002	(-1.69046326927322e+000dB,-3.45990349716369e+001°)
9.33254300796988e+002	(-1.75990245642713e+000dB,-3.52549647525607e+001°)
9.54992586021433e+002	(-1.83183521790658e+000dB,-3.59180561599959e+001°)
9.77237220955808e+002	(-1.90632741372817e+000dB,-3.65881288365198e+001°)
9.99999999999997e+002	(-1.98344541121997e+000dB,-3.72649912241388e+001°)
1.02329299228075e+003	(-2.06325606280316e+000dB,-3.79484408008614e+001°)
1.04712854805090e+003	(-2.14582669073987e+000dB,-3.86382643736408e+001°)
1.07151930523760e+003	(-2.23122508009645e+000dB,-3.93342384282896e+001°)
1.09647819614318e+003	(-2.31951948124625e+000dB,-4.00361295365032e+001°)
1.12201845430196e+003	(-2.41077862330740e+000dB,-4.07436948196322e+001°)
1.14815362149688e+003	(-2.50507173998247e+000dB,-4.14566824683324e+001°)
1.17489755493953e+003	(-2.60246860933619e+000dB,-4.21748323166921e+001°)
1.20226443461741e+003	(-2.70303960911620e+000dB,-4.28978764689019e+001°)
1.23026877081238e+003	(-2.80685578929157e+000dB,-4.36255399759997e+001°)
1.25892541179416e+003	(-2.91398896355398e+000dB,-4.43575415596994e+001°)
1.28824955169313e+003	(-3.02451182160182e+000dB,-4.50935943798067e+001°)
1.31825673855640e+003	(-3.13849806410581e+000dB,-4.58334068412443e+001°)
1.34896288259165e+003	(-3.25602256234389e+000dB,-4.65766834362677e+001°)
1.38038426460288e+003	(-3.37716154459101e+000dB,-4.73231256170449e+001°)
1.41253754462275e+003	(-3.50199281146427e+000dB,-4.80724326934238e+001°)
1.44543977074592e+003	(-3.63059598255710e+000dB,-4.88243027504154e+001°)
1.47910838816820e+003	(-3.76305277685429e+000dB,-4.95784335796797e+001°)
1.51356124843620e+003	(-3.89944732960875e+000dB,-5.03345236191377e+001°)
